,Rk,Squad,MP,W (per game),D (per game),L (per game),GA (per game),GD (per game),Pts/MP,xGA (per game),xGD/90,Attendance,Top Team Scorer (per game),Season,Pl,Age,Poss,Performance: PKatt,Performance: CrdY (per game),Performance: CrdR,Progression: PrgC (per game),Progression: PrgP,Per 90 Minutes: Gls,Per 90 Minutes: Ast,Per 90 Minutes: G+A,Per 90 Minutes: G-PK,Per 90 Minutes: G+A-PK,Per 90 Minutes: xG,Per 90 Minutes: xAG,Per 90 Minutes: xG+xAG,Per 90 Minutes: npxG,Per 90 Minutes: npxG+xAG,Performance: Saves (per game),Performance: Save%,Performance: CS%,Penalty Kicks: PKatt,Penalty Kicks: PKA,Penalty Kicks: PKsv,Penalty Kicks: PKm,Penalty Kicks: Save%,Standard: SoT%,Standard: Sh/90,Standard: SoT/90,Standard: G/Sh,Standard: G/SoT,Standard: Dist,Standard: FK,Standard: PK,Standard: PKatt,Expected: npxG/Sh,Expected: G-xG,Expected: np:G-xG,Total: Cmp (per game),Total: Att (per game),Total: Cmp%,Total: TotDist (per game),Total: PrgDist (per game),Short: Cmp (per game),Short: Att (per game),Short: Cmp%,Medium: Cmp (per game),Medium: Att (per game),Medium: Cmp%,Long: Cmp (per game),Long: Att (per game),Long: Cmp%,Unnamed: 21_level_0: KP,Unnamed: 22_level_0: 1/3,Unnamed: 23_level_0: PPA,Unnamed: 24_level_0: CrsPA,Pass Types: Live (per game),Pass Types: Dead (per game),Pass Types: FK (per game),Pass Types: TB (per game),Pass Types: Sw (per game),Pass Types: Crs (per game),Pass Types: TI (per game),Pass Types: CK (per game),Corner Kicks: In (per game),Corner Kicks: Out (per game),Corner Kicks: Str (per game),Outcomes: Blocks (per game),SCA: SCA90,SCA Types: PassLive (per game),SCA Types: PassDead (per game),SCA Types: TO (per game),SCA Types: Sh (per game),SCA Types: Fld (per game),SCA Types: Def (per game),GCA: GCA90,GCA Types: PassLive (per game),GCA Types: PassDead (per game),GCA Types: TO (per game),GCA Types: Sh (per game),GCA Types: Fld (per game),GCA Types: Def (per game),Tackles: Tkl (per game),Tackles: TklW (per game),Tackles: Def 3rd (per game),Tackles: Mid 3rd (per game),Tackles: Att 3rd (per game),Challenges: Tkl (per game),Challenges: Att (per game),Challenges: Tkl%,Challenges: Lost (per game),Blocks: Blocks (per game),Blocks: Sh (per game),Blocks: Pass (per game),Touches: Touches (per game),Touches: Def Pen (per game),Touches: Def 3rd (per game),Touches: Mid 3rd (per game),Touches: Att 3rd (per game),Touches: Att Pen (per game),Take-Ons: Att (per game),Take-Ons: Succ%,Take-Ons: Tkld (per game),Take-Ons: Tkld%,Carries: Carries (per game),Carries: TotDist (per game),Carries: PrgDist (per game),Carries: 1/3 (per game),Carries: CPA (per game),Receiving: Rec (per game),Receiving: PrgR (per game),Performance: 2CrdY,Performance: Fls (per game),Performance: Fld (per game),Performance: Off (per game),Performance: PKwon,Performance: PKcon,Performance: OG,Performance: Recov (per game),Aerial Duels: Won (per game),Aerial Duels: Won%,Int (per game),Tkl+Int (per game),Clr (per game),Err (per game),League,Relegated
0,1,Manchester City,38,0.74,0.13,0.13,0.87,1.61,2.34,0.84,1.23,53249.0,0.95,2022-2023,24,27.2,64.7,10,1.16,1.0,25.97,54.55,2.42,1.82,4.24,2.18,4.0,2.07,1.52,3.59,1.87,3.39,1.58,67.4,34.2,3,3,0,0,0.0,34.7,15.53,5.39,0.14,0.4,16.6,0.53,9,10,0.12,13.3,11.9,612.18,701.11,87.3,10433.0,3024.21,290.0,312.84,92.7,259.16,285.16,90.9,50.84,74.97,67.8,464,1770,445,75,659.13,40.63,11.58,2.47,4.66,19.53,16.16,6.26,1.89,2.29,0.29,9.21,28.92,21.74,2.13,1.39,2.0,1.29,0.37,4.42,0.77,0.04,0.05,0.05,0.07,0.01,12.39,7.16,4.87,5.21,2.32,5.58,11.97,46.6,6.39,8.92,2.5,6.42,786.71,57.11,195.0,378.21,218.45,33.61,18.47,47.6,6.29,34.0,503.16,2737.87,1477.97,19.82,7.34,605.05,54.05,0,9.13,10.11,1.34,9,3,1,49.11,11.53,54.6,5.87,18.26,10.58,0.21,Premier League,0
1,2,Arsenal,38,0.68,0.16,0.16,1.13,1.18,2.21,1.11,0.79,60191.0,0.39,2022-2023,26,24.7,59.3,4,1.34,0.0,21.68,53.92,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.31,1.82,3.23,2.47,70.6,36.8,5,3,0,2,0.0,32.9,15.5,5.11,0.14,0.42,16.0,0.42,3,4,0.12,12.1,11.9,481.08,578.13,83.2,8163.32,2648.29,224.79,249.42,90.1,205.92,232.13,88.7,38.26,67.05,57.1,443,1637,459,62,534.03,42.63,13.58,2.26,2.55,17.74,16.18,5.87,4.05,0.21,0.08,9.97,27.5,20.42,2.05,1.5,1.92,1.13,0.47,3.95,0.81,0.04,0.03,0.09,0.02,0.01,14.95,9.03,6.26,5.58,3.11,6.55,13.32,49.2,6.76,9.53,2.26,7.26,681.82,52.47,174.53,301.37,210.92,34.11,19.76,46.7,7.63,38.6,419.03,2210.82,1163.18,15.34,7.39,476.34,53.26,0,9.82,11.45,1.47,3,5,1,52.21,12.79,46.5,6.24,21.18,15.76,0.58,Premier League,0
2,3,Manchester Utd,38,0.61,0.16,0.24,1.13,0.39,1.97,1.33,0.45,73671.0,0.45,2022-2023,26,26.9,53.7,3,2.05,2.0,18.71,41.97,1.47,1.11,2.58,1.39,2.5,1.78,1.37,3.15,1.72,3.09,2.61,71.1,44.7,3,2,1,0,33.3,34.9,15.53,5.42,0.09,0.26,17.8,0.53,3,3,0.11,-11.7,-12.3,436.92,540.11,80.9,7279.61,2553.32,217.71,244.58,89.0,167.34,192.26,87.0,37.84,69.74,54.3,478,1268,398,57,495.45,42.58,8.55,2.76,4.34,13.58,18.82,5.13,1.87,1.24,0.08,11.05,27.66,22.11,1.53,1.21,1.66,0.92,0.24,2.61,0.8,0.03,0.08,0.05,0.04,0.0,17.32,10.53,9.03,6.08,2.21,7.92,15.74,50.3,7.82,13.05,3.84,9.21,653.87,69.45,212.97,273.39,172.87,27.26,19.21,43.4,8.89,46.3,374.87,1851.34,977.0,13.55,6.29,432.82,41.53,0,11.16,7.82,2.08,2,3,1,57.63,12.24,51.7,9.26,26.58,20.29,0.26,Premier League,0
3,4,Newcastle Utd,38,0.5,0.37,0.13,0.87,0.92,1.87,1.04,0.85,52127.0,0.47,2022-2023,27,27.3,52.3,6,1.61,1.0,18.26,42.58,1.68,1.11,2.79,1.53,2.63,1.89,1.37,3.26,1.77,3.14,2.47,75.6,36.8,5,2,2,1,50.0,32.6,14.87,4.84,0.1,0.32,15.6,0.39,6,6,0.12,-8.0,-9.4,366.45,469.39,78.1,6481.5,2391.92,169.29,193.95,87.3,146.84,173.82,84.5,40.08,73.0,54.9,435,1083,403,64,421.58,45.95,11.76,2.32,3.74,19.47,19.16,7.11,2.79,2.37,0.39,9.74,26.53,18.16,2.89,1.63,2.03,1.5,0.32,2.79,0.6,0.06,0.14,0.09,0.06,0.05,15.97,9.47,7.05,6.68,2.24,8.08,16.89,47.8,8.82,11.79,3.05,8.74,581.74,54.95,177.82,238.24,171.47,30.55,20.61,44.6,8.47,41.1,316.34,1688.58,867.58,12.97,5.97,363.24,42.08,0,10.68,10.5,1.87,2,5,2,54.34,14.55,56.4,8.76,24.74,17.89,0.26,Premier League,0
4,5,Liverpool,38,0.5,0.26,0.24,1.24,0.74,1.76,1.34,0.57,53163.0,0.5,2022-2023,28,27.4,60.8,4,1.5,1.0,18.92,52.42,1.87,1.53,3.39,1.82,3.34,1.91,1.49,3.4,1.83,3.32,2.92,71.3,36.8,4,2,1,1,33.3,33.8,15.82,5.34,0.11,0.34,16.2,0.18,2,4,0.12,-1.6,-0.5,527.45,641.08,82.3,9287.61,3170.16,237.45,266.16,89.2,225.29,256.79,87.7,51.63,86.39,59.8,458,1615,452,85,591.21,47.66,10.95,2.71,5.21,21.03,22.63,6.18,1.47,4.08,0.03,10.08,27.53,20.47,2.24,1.45,1.97,0.87,0.53,3.39,0.75,0.07,0.05,0.06,0.05,0.01,15.53,9.74,6.0,6.58,2.95,7.39,17.05,43.4,9.66,9.21,1.95,7.26,747.34,60.79,213.66,350.76,188.13,32.95,18.18,46.3,7.42,40.8,451.21,2169.95,1092.82,14.97,6.16,524.24,51.95,0,10.66,8.45,2.21,3,4,2,58.18,12.68,51.4,8.76,24.29,14.95,0.5,Premier League,0
5,6,Brighton,38,0.47,0.21,0.32,1.39,0.5,1.63,1.32,0.61,31477.0,0.26,2022-2023,29,26.3,60.2,6,1.53,0.0,21.29,48.66,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19,2.16,64.1,31.6,8,6,2,0,25.0,36.1,15.97,5.76,0.1,0.28,16.8,0.32,6,6,0.12,-5.3,-6.9,505.53,602.32,83.9,8414.11,2801.95,245.95,271.18,90.7,207.68,234.71,88.5,38.5,64.79,59.4,480,1459,391,78,555.5,44.97,11.71,2.13,3.42,18.26,18.24,6.13,2.68,2.32,0.05,10.08,28.26,21.55,1.92,2.11,1.66,0.71,0.32,3.0,0.73,0.03,0.11,0.08,0.05,0.01,16.21,8.95,7.11,6.37,2.74,7.0,14.74,47.5,7.74,10.32,2.74,7.58,703.34,65.03,206.42,321.37,180.87,29.0,19.05,47.4,7.34,38.5,429.76,2203.13,1156.97,14.39,6.58,499.76,48.11,0,11.24,10.71,1.84,4,8,6,52.97,11.68,53.4,7.97,24.18,11.37,0.39,Premier League,0
6,7,Aston Villa,38,0.47,0.18,0.34,1.21,0.13,1.61,1.38,-0.06,39485.0,0.39,2022-2023,26,27.0,49.3,4,2.11,1.0,16.76,32.68,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,2.84,72.8,31.6,6,5,1,0,16.7,34.0,11.24,3.82,0.11,0.32,18.0,0.47,3,4,0.11,-1.2,-1.2,362.68,457.79,79.2,6423.26,2304.76,160.76,182.76,88.0,157.39,182.53,86.2,35.39,67.87,52.2,318,964,268,80,409.05,47.21,15.76,1.42,2.66,14.76,18.0,4.26,2.55,0.5,0.11,8.55,19.76,14.87,1.32,1.26,1.0,1.05,0.26,2.21,0.65,0.02,0.07,0.14,0.07,0.04,16.66,8.89,8.03,6.61,2.03,8.24,17.0,48.5,8.76,11.53,3.11,8.42,565.82,73.24,208.21,238.87,123.84,19.63,17.92,42.9,7.34,41.0,323.53,1725.87,872.53,11.42,4.58,357.55,32.29,0,10.97,13.11,1.53,4,6,4,48.61,11.63,48.7,8.53,25.18,18.79,0.34,Premier League,0
7,8,Tottenham,38,0.47,0.16,0.37,1.66,0.18,1.58,1.31,0.2,61585.0,0.79,2022-2023,29,27.6,50.0,6,2.03,3.0,18.21,38.13,1.79,1.21,3.0,1.66,2.87,1.5,1.13,2.64,1.38,2.51,2.87,65.1,26.3,4,3,1,0,25.0,36.3,13.47,4.89,0.12,0.34,16.7,0.34,5,6,0.1,10.9,10.6,420.32,517.68,81.2,7304.39,2439.39,192.97,215.26,89.6,176.5,202.16,87.3,39.45,70.24,56.2,386,1071,323,104,472.37,43.55,10.63,1.95,4.34,18.92,17.47,5.34,2.97,1.34,0.0,10.89,23.95,18.21,1.58,1.21,1.45,1.0,0.5,3.05,0.72,0.06,0.06,0.08,0.06,0.02,16.29,9.29,8.55,5.66,2.08,7.24,15.11,47.9,7.87,11.26,3.89,7.37,627.26,71.95,225.55,271.82,135.13,22.16,17.45,45.7,7.58,43.4,359.89,1875.84,969.39,12.24,4.97,417.47,37.79,1,11.16,9.29,1.76,5,4,1,52.21,14.45,53.7,8.95,25.24,20.05,0.5,Premier League,0
8,9,Brentford,38,0.39,0.37,0.24,1.21,0.32,1.55,1.31,0.18,17078.0,0.53,2022-2023,25,26.2,43.8,8,1.5,1.0,10.32,29.76,1.47,0.95,2.42,1.29,2.24,1.49,1.02,2.51,1.33,2.35,4.05,77.7,31.6,2,2,0,0,0.0,36.8,10.53,3.87,0.12,0.33,15.7,0.37,7,8,0.13,-0.8,-1.6,297.82,409.24,72.8,5525.29,2289.63,135.32,160.95,84.1,117.76,147.42,79.9,37.84,77.55,48.8,284,922,279,87,362.26,45.08,11.92,1.39,2.82,17.39,19.42,4.29,2.18,0.89,0.32,7.97,18.47,12.5,2.61,0.84,1.18,1.16,0.18,2.58,0.66,0.08,0.04,0.08,0.11,0.02,15.45,8.87,7.11,6.0,2.34,6.66,15.76,42.2,9.11,12.0,4.42,7.58,519.74,69.26,191.84,205.32,127.24,21.76,15.71,44.2,6.53,41.5,273.89,1289.71,631.24,7.87,2.68,294.82,29.5,1,9.32,10.5,1.89,7,2,3,51.55,17.5,51.8,8.97,24.42,21.63,0.32,Premier League,0
9,10,Fulham,38,0.39,0.18,0.42,1.39,0.05,1.37,1.68,-0.46,23746.0,0.37,2022-2023,29,28.2,48.8,9,2.11,1.0,17.42,34.89,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,3.79,76.5,23.7,8,7,1,0,12.5,32.6,11.05,3.61,0.11,0.34,17.3,0.45,5,9,0.1,5.8,7.9,367.74,474.05,77.6,6727.08,2350.08,154.39,179.42,86.1,163.74,192.97,84.8,40.82,75.26,54.2,306,1044,284,97,424.63,47.84,12.39,0.53,4.13,20.24,20.92,4.79,1.84,1.82,0.05,10.34,19.76,13.89,2.05,0.76,1.42,1.24,0.39,2.37,0.62,0.1,0.06,0.12,0.08,0.02,16.39,9.18,7.74,6.0,2.66,7.87,15.21,51.7,7.34,11.97,3.29,8.68,583.16,67.45,196.34,250.5,142.47,19.95,15.58,45.4,6.26,40.2,322.34,1792.97,929.45,12.39,3.26,364.37,34.63,0,10.82,10.66,1.58,8,8,2,52.08,13.45,48.2,8.95,25.34,19.71,0.34,Premier League,0
